t_range_s,requests,rps,avg_ms,p95_ms,err_pct,replicas_mid,cpu_util_pct_mid
"[0,30)",121,4.03,3204.0,5832.5,0.0,2.0,2.0
"[30,60)",111,3.7,3246.0,6081.2,0.0,2.0,2.0
"[60,90)",200,6.67,1768.0,3605.7,0.0,2.0,463.0
"[90,120)",181,6.03,1932.0,5214.5,0.0,4.0,313.0
"[120,150)",255,8.5,1411.0,3192.9,0.0,4.0,313.0
"[150,180)",254,8.47,1414.0,2887.7,0.0,4.0,313.0
"[180,210)",320,10.67,1112.0,2289.6,0.0,8.0,361.0
"[210,240)",343,11.43,1056.0,2302.4,0.0,8.0,361.0
"[240,270)",0,,,,,8.0,361.0
"[270,300)",0,,,,,8.0,1.0
