seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1,1788581470.117,0.001,998.99,200,True,
2,1788581470.115,0.0,1010.6,200,True,
3,1788581470.117,0.001,1014.52,200,True,
4,1788581470.117,0.001,1095.44,200,True,
5,1788581470.117,0.001,1999.2,200,True,
6,1788581470.117,0.001,2012.41,200,True,
7,1788581470.115,0.0,2013.65,200,True,
8,1788581470.117,0.001,2154.38,200,True,
9,1788581470.117,0.001,3016.12,200,True,
10,1788581470.115,0.0,3023.49,200,True,
11,1788581470.115,0.0,3052.82,200,True,
12,1788581470.119,0.003,3180.18,200,True,
13,1788581472.129,2.014,1982.4,200,True,
14,1788581471.116,1.0,3024.49,200,True,
15,1788581471.126,1.011,3096.04,200,True,
16,1788581472.271,2.156,2098.0,200,True,
17,1788581471.131,1.016,4008.74,200,True,
18,1788581473.139,3.023,2065.6,200,True,
19,1788581471.212,1.097,4025.55,200,True,
20,1788581473.168,3.053,2236.61,200,True,
21,1788581474.14,4.025,2059.18,200,True,
22,1788581472.116,2.0,4106.48,200,True,
23,1788581472.129,2.014,4106.19,200,True,
24,1788581475.14,5.024,1258.71,200,True,
25,1788581475.405,5.289,1801.9,200,True,
26,1788581473.299,3.183,3935.45,200,True,
27,1788581473.133,3.017,4182.65,200,True,
28,1788581476.199,6.084,1155.73,200,True,
29,1788581476.222,6.107,1941.18,200,True,
30,1788581474.222,4.107,4012.51,200,True,
31,1788581474.111,3.996,4123.11,200,True,
32,1788581476.399,6.283,2001.49,200,True,
33,1788581474.369,4.254,4860.87,200,True,
34,1788581475.204,5.089,4025.4,200,True,
35,1788581477.234,7.119,2024.76,200,True,
36,1788581477.355,7.24,2044.42,200,True,
37,1788581475.238,5.122,4990.95,200,True,
38,1788581478.235,8.119,2057.77,200,True,
39,1788581476.235,6.12,4073.94,200,True,
40,1788581478.4,8.285,1992.77,200,True,
41,1788581477.207,7.091,4021.28,200,True,
42,1788581479.399,9.284,1849.98,200,True,
43,1788581477.315,7.2,3999.91,200,True,
44,1788581480.229,10.113,1172.29,200,True,
45,1788581480.292,10.177,1961.56,200,True,
46,1788581478.164,8.048,4142.11,200,True,
47,1788581478.235,8.119,4071.06,200,True,
48,1788581480.309,10.194,2139.09,200,True,
49,1788581480.393,10.277,2892.22,200,True,
50,1788581479.23,9.114,4076.89,200,True,
51,1788581479.23,9.114,4168.1,200,True,
52,1788581481.315,11.2,2133.53,200,True,
53,1788581482.254,12.138,1932.84,200,True,
54,1788581479.259,9.144,5038.06,200,True,
55,1788581481.228,11.113,3173.52,200,True,
56,1788581482.306,12.19,2244.36,200,True,
57,1788581482.306,12.19,2875.63,200,True,
58,1788581481.249,11.134,3969.56,200,True,
59,1788581481.401,11.285,3921.12,200,True,
60,1788581482.448,12.333,3089.58,200,True,
61,1788581483.285,13.17,2858.45,200,True,
62,1788581483.307,13.191,3275.05,200,True,
63,1788581483.398,13.283,3780.31,200,True,
64,1788581487.178,17.063,446.39,200,True,
65,1788581483.449,13.333,4187.95,200,True,
66,1788581484.187,14.071,3990.29,200,True,
67,1788581488.177,18.062,456.17,200,True,
68,1788581484.297,14.182,4448.92,200,True,
69,1788581484.402,14.286,4840.9,200,True,
70,1788581484.55,14.435,5242.93,200,True,
71,1788581489.793,19.678,452.59,200,True,
72,1788581485.181,15.066,5110.77,200,True,
73,1788581485.219,15.104,5584.18,200,True,
74,1788581490.803,20.688,458.08,200,True,
75,1788581485.322,15.207,5984.39,200,True,
76,1788581491.261,21.146,497.87,200,True,
77,1788581485.538,15.422,6320.82,200,True,
78,1788581486.144,16.028,6216.97,200,True,
79,1788581492.361,22.245,450.02,200,True,
80,1788581486.582,16.466,6275.84,200,True,
81,1788581487.625,17.509,5842.94,200,True,
82,1788581492.811,22.695,990.04,200,True,
83,1788581487.637,17.521,6178.37,200,True,
84,1788581492.858,22.742,963.55,200,True,
85,1788581488.633,18.518,5835.69,200,True,
86,1788581493.468,23.352,1333.65,200,True,
87,1788581493.801,23.685,1102.84,200,True,
88,1788581488.746,18.631,6266.64,200,True,
89,1788581489.242,19.127,6231.34,200,True,
90,1788581493.815,23.7,2012.23,200,True,
91,1788581493.821,23.706,2012.87,200,True,
92,1788581490.246,20.13,5762.68,200,True,
93,1788581490.292,20.177,6179.03,200,True,
94,1788581494.801,24.686,2031.68,200,True,
95,1788581494.469,24.353,2463.29,200,True,
96,1788581491.306,21.191,5714.49,200,True,
97,1788581491.759,21.644,5758.5,200,True,
98,1788581491.859,21.743,5950.6,200,True,
99,1788581494.903,24.788,3002.73,200,True,
100,1788581495.013,24.897,2920.12,200,True,
101,1788581497.809,27.694,800.31,200,True,
102,1788581497.933,27.817,884.64,200,True,
103,1788581495.474,25.358,3431.73,200,True,
104,1788581495.827,25.712,3107.8,200,True,
105,1788581498.818,28.702,903.55,200,True,
106,1788581498.906,28.79,909.8,200,True,
107,1788581495.834,25.719,4006.48,200,True,
108,1788581496.008,25.893,4019.49,200,True,
109,1788581499.841,29.725,929.22,200,True,
110,1788581499.815,29.7,1063.24,200,True,
111,1788581496.471,26.356,4436.84,200,True,
112,1788581496.833,26.718,4169.18,200,True,
113,1788581500.028,29.912,1693.19,200,True,
114,1788581496.932,26.817,4981.03,200,True,
115,1788581500.77,30.654,1144.98,200,True,
116,1788581497.021,26.905,5008.41,200,True,
117,1788581500.908,30.792,1867.32,200,True,
118,1788581497.518,27.402,5293.7,200,True,
119,1788581501.913,31.798,1000.6,200,True,
120,1788581497.906,27.791,5233.11,200,True,
121,1788581501.915,31.799,1697.09,200,True,
122,1788581498.61,28.494,5121.65,200,True,
123,1788581503.139,33.024,739.13,200,True,
124,1788581498.935,28.82,5290.27,200,True,
125,1788581503.878,33.763,500.62,200,True,
126,1788581499.721,29.606,4984.72,200,True,
127,1788581500.879,30.763,4424.09,200,True,
128,1788581501.002,30.887,4630.33,200,True,
129,1788581501.721,31.605,4596.54,200,True,
130,1788581505.632,35.517,706.57,200,True,
