epoch,time_iso,hpa_current_replicas,hpa_desired_replicas,hpa_target_util_pct,hpa_current_util_pct,hpa_last_scale_time,pods_running,pods_pending,restarts_sum,cpu_m_sum,mem_mi_sum,per_pod_detail
1788581409.2,12:10:09,2,2,70,1,2026-09-05T04:08:32Z,2,0,0,2.0,208.0,"59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-s99kg:1m,105Mi"
1788581424.8,12:10:24,2,2,70,1,2026-09-05T04:08:32Z,2,0,0,5.0,208.0,"59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-s99kg:4m,105Mi"
1788581440.2,12:10:40,2,2,70,1,2026-09-05T04:08:32Z,2,0,0,3.0,208.0,"59d5d7f794-pm2xc:2m,103Mi | 59d5d7f794-s99kg:1m,105Mi"
1788581455.7,12:10:55,2,2,70,1,2026-09-05T04:08:32Z,,,,201.0,208.0,"59d5d7f794-pm2xc:91m,103Mi | 59d5d7f794-s99kg:110m,105Mi"
1788581491.1,12:11:31,,,,,,4,0,0,916.0,208.0,"59d5d7f794-pm2xc:416m,103Mi | 59d5d7f794-s99kg:500m,105Mi"
1788581526.5,12:12:06,,,,,,4,0,0,1748.0,415.0,"59d5d7f794-lxfv6:496m,104Mi | 59d5d7f794-pm2xc:439m,103Mi | 59d5d7f794-pww8q:474m,103Mi | 59d5d7f794-s99kg:339m,105Mi"
1788581561.9,12:12:41,4,6,70,440,2026-09-05T04:12:32Z,6,0,0,1736.0,415.0,"59d5d7f794-lxfv6:414m,104Mi | 59d5d7f794-pm2xc:438m,103Mi | 59d5d7f794-pww8q:427m,104Mi | 59d5d7f794-s99kg:457m,104Mi"
1788581577.4,12:12:57,4,6,70,440,2026-09-05T04:12:32Z,6,0,0,2066.0,621.0,"59d5d7f794-b4rqx:269m,103Mi | 59d5d7f794-lxfv6:444m,105Mi | 59d5d7f794-pjjdn:271m,102Mi | 59d5d7f794-pm2xc:376m,103Mi | 59d5d7f794-pww8q:453m,104Mi | 59d5d7f794-s99kg:253m,104Mi"
1788581592.9,12:13:12,4,6,70,440,2026-09-05T04:12:32Z,6,0,0,2440.0,620.0,"59d5d7f794-b4rqx:433m,103Mi | 59d5d7f794-lxfv6:354m,104Mi | 59d5d7f794-pjjdn:413m,103Mi | 59d5d7f794-pm2xc:378m,103Mi | 59d5d7f794-pww8q:439m,103Mi | 59d5d7f794-s99kg:423m,104Mi"
1788581608.5,12:13:28,4,6,70,440,2026-09-05T04:12:32Z,6,0,0,2452.0,622.0,"59d5d7f794-b4rqx:435m,103Mi | 59d5d7f794-lxfv6:453m,105Mi | 59d5d7f794-pjjdn:402m,104Mi | 59d5d7f794-pm2xc:352m,102Mi | 59d5d7f794-pww8q:436m,104Mi | 59d5d7f794-s99kg:374m,104Mi"
1788581624.0,12:13:44,6,8,70,408,2026-09-05T04:13:32Z,8,0,0,2382.0,620.0,"59d5d7f794-b4rqx:496m,103Mi | 59d5d7f794-lxfv6:408m,105Mi | 59d5d7f794-pjjdn:407m,103Mi | 59d5d7f794-pm2xc:278m,102Mi | 59d5d7f794-pww8q:416m,103Mi | 59d5d7f794-s99kg:377m,104Mi"
1788581639.6,12:13:59,6,8,70,408,2026-09-05T04:13:32Z,8,0,0,2776.0,829.0,"59d5d7f794-2mk52:285m,105Mi | 59d5d7f794-b4rqx:446m,103Mi | 59d5d7f794-lxfv6:294m,105Mi | 59d5d7f794-pjjdn:459m,103Mi | 59d5d7f794-pm2xc:415m,102Mi | 59d5d7f794-pww8q:299m,103Mi | 59d5d7f794-qqtx7:181m,104Mi | 59d5d7f794-s99kg:397m,104Mi"
1788581655.2,12:14:15,6,8,70,408,2026-09-05T04:13:32Z,8,0,0,2648.0,830.0,"59d5d7f794-2mk52:318m,106Mi | 59d5d7f794-b4rqx:464m,103Mi | 59d5d7f794-lxfv6:261m,104Mi | 59d5d7f794-pjjdn:360m,102Mi | 59d5d7f794-pm2xc:300m,103Mi | 59d5d7f794-pww8q:374m,103Mi | 59d5d7f794-qqtx7:317m,104Mi | 59d5d7f794-s99kg:254m,105Mi"
1788581670.7,12:14:30,6,8,70,408,2026-09-05T04:13:32Z,8,0,0,2787.0,827.0,"59d5d7f794-2mk52:373m,105Mi | 59d5d7f794-b4rqx:305m,102Mi | 59d5d7f794-lxfv6:375m,104Mi | 59d5d7f794-pjjdn:391m,102Mi | 59d5d7f794-pm2xc:399m,103Mi | 59d5d7f794-pww8q:213m,103Mi | 59d5d7f794-qqtx7:427m,104Mi | 59d5d7f794-s99kg:304m,104Mi"
1788581686.3,12:14:46,8,8,70,348,2026-09-05T04:13:32Z,8,0,0,,,
1788581721.8,12:15:21,8,8,70,348,2026-09-05T04:13:32Z,8,0,0,2553.0,828.0,"59d5d7f794-2mk52:279m,105Mi | 59d5d7f794-b4rqx:368m,102Mi | 59d5d7f794-lxfv6:320m,105Mi | 59d5d7f794-pjjdn:417m,103Mi | 59d5d7f794-pm2xc:268m,102Mi | 59d5d7f794-pww8q:330m,103Mi | 59d5d7f794-qqtx7:274m,104Mi | 59d5d7f794-s99kg:297m,104Mi"
1788581737.3,12:15:37,8,8,70,1,2026-09-05T04:13:32Z,,,,11.0,829.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:1m,102Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:2m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:3m,104Mi"
1788581772.8,12:16:12,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,12.0,828.0,"59d5d7f794-2mk52:3m,105Mi | 59d5d7f794-b4rqx:1m,102Mi | 59d5d7f794-lxfv6:2m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:1m,102Mi | 59d5d7f794-pww8q:2m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581788.3,12:16:28,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,10.0,829.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:1m,102Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:3m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581803.9,12:16:43,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,11.0,830.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:1m,103Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:1m,102Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:4m,105Mi"
1788581819.4,12:16:59,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,17.0,829.0,"59d5d7f794-2mk52:3m,105Mi | 59d5d7f794-b4rqx:3m,103Mi | 59d5d7f794-lxfv6:3m,104Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:4m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581835.0,12:17:14,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,18.0,830.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:2m,102Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:5m,103Mi | 59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-pww8q:4m,103Mi | 59d5d7f794-qqtx7:3m,104Mi | 59d5d7f794-s99kg:1m,105Mi"
1788581850.5,12:17:30,8,8,70,1,2026-09-05T04:13:32Z,,,,8.0,829.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:1m,103Mi | 59d5d7f794-lxfv6:1m,104Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581886.0,12:18:05,8,8,70,2,2026-09-05T04:13:32Z,8,0,0,12.0,827.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:3m,102Mi | 59d5d7f794-lxfv6:1m,104Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:2m,102Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:2m,104Mi"
1788581901.5,12:18:21,8,8,70,2,2026-09-05T04:13:32Z,8,0,0,15.0,828.0,"59d5d7f794-2mk52:3m,105Mi | 59d5d7f794-b4rqx:1m,102Mi | 59d5d7f794-lxfv6:3m,104Mi | 59d5d7f794-pjjdn:2m,103Mi | 59d5d7f794-pm2xc:2m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:2m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581917.1,12:18:37,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,11.0,830.0,"59d5d7f794-2mk52:1m,106Mi | 59d5d7f794-b4rqx:1m,103Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:1m,102Mi | 59d5d7f794-pww8q:4m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:1m,104Mi"
1788581932.5,12:18:52,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,16.0,830.0,"59d5d7f794-2mk52:3m,105Mi | 59d5d7f794-b4rqx:1m,103Mi | 59d5d7f794-lxfv6:3m,104Mi | 59d5d7f794-pjjdn:2m,103Mi | 59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:2m,104Mi | 59d5d7f794-s99kg:3m,105Mi"
1788581948.1,12:19:08,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,11.0,829.0,"59d5d7f794-2mk52:1m,105Mi | 59d5d7f794-b4rqx:1m,103Mi | 59d5d7f794-lxfv6:1m,105Mi | 59d5d7f794-pjjdn:1m,103Mi | 59d5d7f794-pm2xc:2m,102Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:3m,104Mi"
1788581963.6,12:19:23,8,8,70,1,2026-09-05T04:13:32Z,8,0,0,16.0,830.0,"59d5d7f794-2mk52:3m,105Mi | 59d5d7f794-b4rqx:3m,102Mi | 59d5d7f794-lxfv6:3m,105Mi | 59d5d7f794-pjjdn:3m,103Mi | 59d5d7f794-pm2xc:1m,103Mi | 59d5d7f794-pww8q:1m,103Mi | 59d5d7f794-qqtx7:1m,104Mi | 59d5d7f794-s99kg:1m,105Mi"
